Offset,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl
,145.65,1, ,2,,78,4, ,5,,52.05,2, ,1,,40.2,3, ,8
,145.8,1, ,5,,78.15,4, ,5,,52.125,2, ,8,,40.425,2, ,5
,145.95,1, ,6,,78.45,4, ,8,,52.2,2, ,6,,40.65,1, ,8
,146.1,1, ,1,,78.75,4, ,5,,52.425,2, ,4,,40.725,1, ,4
,146.4,1, ,5,,78.9,4, ,7,,52.65,2, ,1,,40.8,1, ,6
,146.7,1, ,8,,79.2,1, ,4,,52.8,3, ,4,,40.95,2, ,6
,146.85,1, ,6,,79.35,1, ,5,,52.95,3, ,7,,41.025,2, ,6
,147,1, ,8,,79.5,1, ,1,,53.025,3, ,1,,41.1,2, ,3
,147.225,1, ,3,,79.65,1, ,3,,53.1,3, ,4,,41.25,2, ,6
,147.45,1, ,6,,79.95,1, ,2,,53.25,3, ,4,,41.325,2, ,4
,147.75,1, ,3,,80.1,1, ,2,,53.4,3, ,5,,41.475,3, ,5
,147.9,1, ,2,,80.25,1, ,1,,53.475,3, ,3,,41.55,3, ,1
,148.2,1, ,8,,80.4,1, ,2,,53.625,3, ,4,,41.625,3, ,7
,148.425,1, ,7,,80.55,1, ,4,,53.7,3, ,7,,41.7,3, ,7
,148.65,1, ,3,,80.7,1, ,6,,53.85,3, ,6,,41.85,3, ,4
,149.1,1, ,6,,80.85,1, ,4,,54.15,4, ,6,,41.925,3, ,2
,149.325,1, ,4,,81.15,1, ,4,,54.375,4, ,3,,42,3, ,5
,149.55,1, ,8,,81.3,1, ,4,,54.6,4, ,7,,42.15,4, ,1
,149.775,1, ,8,,81.6,2, ,2,,54.825,4, ,1,,42.225,4, ,4
,150,1, ,3,,81.75,2, ,4,,55.05,4, ,4,,42.3,4, ,2
,150.3,1, ,6,,81.9,2, ,2,,55.2,3, ,4,,42.45,4, ,5
,150.6,1, ,5,,82.05,2, ,2,,55.35,3, ,3,,42.525,4, ,1
,151.2,1, ,1,,82.35,2, ,6,,55.425,3, ,6,,42.6,4, ,1
,151.5,1, ,2,,82.5,2, ,5,,55.5,3, ,3,,42.675,4, ,6
,151.725,1, ,6,,82.8,2, ,6,,55.65,3, ,6,,42.75,4, ,1
,151.95,1, ,6,,83.1,2, ,3,,55.8,3, ,6,,42.825,4, ,7
,152.1,1, ,7,,83.25,2, ,4,,55.875,3, ,4,,42.9,4, ,6
,152.25,1, ,6,,83.55,2, ,3,,55.95,3, ,6,,42.975,4, ,5
,152.4,1, ,2,,83.7,2, ,4,,56.1,3, ,3,,43.05,4, ,2
,152.7,1, ,5,,84,3, ,3,,56.25,3, ,3,,43.125,4, ,5
,153,1, ,5,,84.3,3, ,3,,56.4,4, ,3,,43.2,1, ,7
,153.225,1, ,4,,84.45,3, ,8,,56.55,4, ,6,,43.35,1, ,1
,153.45,1, ,3,,84.75,3, ,7,,56.625,4, ,1,,43.425,1, ,7
,153.6,1, ,4,,85.05,3, ,4,,56.7,4, ,8,,43.5,1, ,5
,153.9,1, ,1,,85.2,3, ,7,,56.85,4, ,4,,43.65,1, ,3
,154.05,1, ,2,,85.35,3, ,8,,56.925,4, ,3,,43.725,1, ,1
,154.35,1, ,3,,85.5,3, ,6,,57,4, ,6,,43.95,2, ,2
,154.5,1, ,5,,85.65,3, ,8,,57.15,4, ,7,,44.025,2, ,6
,154.65,1, ,6,,85.8,3, ,6,,57.225,4, ,6,,44.1,2, ,8
,154.8,1, ,4,,86.1,3, ,4,,57.3,4, ,8,,44.25,2, ,7
,154.95,1, ,8,,86.4,4, ,1,,57.45,4, ,2,,44.325,2, ,2
,155.1,1, ,6,,86.7,4, ,7,,57.6,1, ,3,,44.4,2, ,7
,155.25,1, ,5,,86.85,4, ,3,,57.9,1, ,1,,44.55,3, ,1
,155.4,1, ,1,,87.15,4, ,1,,57.975,1, ,3,,44.625,3, ,2
,155.55,1, ,4,,87.45,4, ,3,,58.05,1, ,1,,44.7,3, ,2
,155.7,1, ,1,,87.6,4, ,5,,58.125,1, ,4,,44.85,4, ,5
,156.6,1, ,3,,87.75,4, ,6,,58.2,1, ,8,,44.925,4, ,3
,1000000,,,,,87.9,4, ,3,,58.425,1, ,4,,45,4, ,5
,,,,,,88.05,4, ,8,,58.65,1, ,8,,45.15,3, ,4
,,,,,,88.2,4, ,2,,58.95,1, ,5,,45.3,2, ,5
,,,,,,88.5,4, ,1,,59.1,1, ,8,,45.45,1, ,2
,,,,,,88.8,1, ,4,,59.4,1, ,7,,45.525,1, ,2
,,,,,,89.1,1, ,3,,59.625,1, ,2,,45.6,1, ,1
,,,,,,89.4,1, ,1,,59.85,1, ,5,,45.75,2, ,3
,,,,,,89.7,1, ,8,,60.3,1, ,1,,45.825,2, ,6
,,,,,,90,1, ,3,,60.525,1, ,8,,45.9,2, ,3
,,,,,,90.3,1, ,4,,60.75,1, ,7,,46.05,3, ,8
,,,,,,90.6,1, ,3,,60.9,1, ,6,,46.2,4, ,7
,,,,,,90.9,1, ,4,,61.05,1, ,2,,46.275,4, ,4
,,,,,,91.2,2, ,5,,61.2,1, ,6,,46.35,4, ,6
,,,,,,91.5,2, ,4,,61.3,1, ,7,,46.5,3, ,4
,,,,,,91.8,2, ,5,,61.4,1, ,8,,46.65,2, ,3
,,,,,,92.1,2, ,4,,61.5,1, ,2,,46.725,2, ,1
,,,,,,92.4,2, ,6,,61.8,1, ,6,,46.8,2, ,3
,,,,,,92.7,2, ,1,,61.9,1, ,7,,46.95,1, ,2
,,,,,,93,2, ,1,,61.95,1, ,1,,47.1,1, ,6
,,,,,,93.3,2, ,4,,62,1, ,1,,47.175,1, ,7
,,,,,,93.6,3, ,2,,62.1,1, ,3,,47.25,1, ,3
,,,,,,93.9,3, ,1,,62.2,1, ,1,,47.325,1, ,1
,,,,,,94.2,3, ,4,,62.3,1, ,4,,47.4,1, ,8
,,,,,,94.5,3, ,1,,62.4,1, ,6,,47.7,2, ,2
,,,,,,94.8,3, ,5,,62.7,1, ,4,,48,1, ,8
,,,,,,95.1,3, ,2,,62.775,1, ,8,,48.15,1, ,3
,,,,,,95.4,3, ,4,,62.85,1, ,1,,48.3,1, ,6
,,,,,,95.7,3, ,5,,62.925,1, ,1,,48.45,1, ,1
,,,,,,96,4, ,2,,63,1, ,5,,48.75,2, ,6
,,,,,,96.15,4, ,1,,63.225,1, ,5,,48.825,2, ,6
,,,,,,96.3,4, ,3,,63.45,1, ,1,,48.9,2, ,7
,,,,,,96.6,4, ,2,,63.6,1, ,6,,48.975,2, ,3
,,,,,,96.75,4, ,2,,63.7,1, ,1,,49.05,2, ,2
,,,,,,96.9,4, ,4,,63.8,1, ,3,,49.2,3, ,2
,,,,,,97.2,4, ,1,,63.9,1, ,4,,49.35,4, ,1
,,,,,,97.5,4, ,4,,64.05,1, ,5,,49.425,4, ,1
,,,,,,97.8,4, ,3,,64.35,1, ,4,,49.5,4, ,2
,,,,,,97.95,4, ,1,,64.5,1, ,3,,49.65,3, ,4
,,,,,,98.1,4, ,6,,64.65,1, ,7,,49.8,2, ,3
,,,,,,98.4,1, ,1,,64.725,1, ,2,,49.95,1, ,8
,,,,,,98.55,1, ,8,,64.95,1, ,6,,50.025,1, ,1
,,,,,,98.7,1, ,1,,65.025,1, ,5,,50.1,1, ,2
,,,,,,98.85,1, ,2,,65.1,1, ,2,,50.25,1, ,3
,,,,,,99.15,1, ,4,,65.25,1, ,2,,50.4,2, ,7
,,,,,,99.3,1, ,3,,65.325,1, ,4,,50.55,2, ,8
,,,,,,99.45,1, ,6,,65.4,1, ,5,,50.625,2, ,3
,,,,,,99.75,1, ,1,,65.475,1, ,1,,50.7,2, ,8
,,,,,,100.05,1, ,7,,65.55,1, ,3,,50.85,2, ,7
,,,,,,100.35,1, ,1,,65.7,1, ,3,,50.925,2, ,7
,,,,,,100.5,1, ,3,,65.75,1, ,3,,51,2, ,8
,,,,,,100.8,2, ,3,,65.8,1, ,8,,51.15,3, ,5
,,,,,,100.95,2, ,1,,65.85,1, ,1,,51.225,3, ,2
,,,,,,101.1,2, ,8,,65.925,1, ,1,,51.3,3, ,6
,,,,,,101.25,2, ,3,,66,1, ,5,,51.45,3, ,5
,,,,,,101.55,2, ,7,,66.1,1, ,8,,51.525,3, ,3
,,,,,,101.7,2, ,8,,66.2,1, ,1,,51.6,4, ,8
,,,,,,101.85,2, ,1,,66.3,1, ,1,,51.75,3, ,2
,,,,,,102,2, ,8,,66.4,1, ,5,,51.825,3, ,5
,,,,,,102.3,2, ,4,,66.5,1, ,5,,51.9,3, ,4
,,,,,,102.6,2, ,1,,66.6,1, ,3,,51.975,2, ,2
,,,,,,102.75,2, ,2,,66.65,1, ,3,,52.05,2, ,5
,,,,,,102.9,2, ,8,,66.7,1, ,8,,52.125,2, ,7
,,,,,,103.2,3, ,1,,66.8,1, ,2,,52.2,2, ,8
,,,,,,103.35,3, ,6,,66.9,1, ,1,,52.5,1, ,5
,,,,,,103.5,3, ,3,,66.95,1, ,1,,52.8,1, ,8
,,,,,,103.65,3, ,1,,67,1, ,8,,52.95,1, ,8
,,,,,,103.95,3, ,1,,67.1,1, ,6,,53.025,1, ,6
,,,,,,104.1,3, ,5,,67.2,1, ,1,,53.1,1, ,4
,,,,,,104.25,3, ,3,,69.6,1, ,1,,53.25,2, ,4
,,,,,,104.55,3, ,2,,69.75,1, ,5,,53.4,2, ,1
,,,,,,104.7,3, ,1,,69.9,1, ,2,,53.475,2, ,1
,,,,,,104.85,3, ,5,,70.05,1, ,1,,53.55,2, ,6
,,,,,,105.15,3, ,5,,70.35,2, ,5,,53.7,3, ,5
,,,,,,105.3,3, ,4,,70.5,2, ,8,,53.85,3, ,3
,,,,,,105.6,4, ,1,,70.65,2, ,2,,53.925,3, ,5
,,,,,,105.75,4, ,2,,70.8,2, ,3,,54,3, ,7
,,,,,,106.05,4, ,4,,70.95,2, ,1,,54.15,3, ,1
,,,,,,106.35,4, ,8,,71.1,2, ,5,,54.3,3, ,6
,,,,,,106.5,4, ,6,,71.25,2, ,6,,54.375,4, ,7
,,,,,,106.65,4, ,5,,71.55,3, ,8,,54.525,4, ,5
,,,,,,106.8,4, ,5,,71.7,3, ,2,,54.6,3, ,4
,,,,,,106.95,4, ,7,,72,4, ,5,,54.75,3, ,4
,,,,,,107.25,4, ,5,,72.15,4, ,7,,54.825,2, ,2
,,,,,,107.55,4, ,2,,72.3,4, ,7,,54.975,2, ,7
,,,,,,107.7,4, ,4,,72.45,4, ,1,,55.05,1, ,8
,,,,,,108,1, ,3,,72.75,3, ,2,,55.2,1, ,3
,,,,,,108.15,1, ,3,,72.9,3, ,5,,55.35,1, ,7
,,,,,,108.3,1, ,2,,73.2,2, ,2,,55.425,1, ,1
,,,,,,108.45,1, ,2,,73.5,2, ,1,,55.5,1, ,5
,,,,,,108.75,1, ,3,,73.65,2, ,6,,55.65,1, ,6
,,,,,,108.9,1, ,1,,73.95,1, ,3,,55.8,1, ,7
,,,,,,109.05,1, ,6,,74.1,1, ,6,,55.875,1, ,6
,,,,,,109.35,1, ,8,,74.4,1, ,5,,55.95,1, ,1
,,,,,,109.65,1, ,3,,74.55,1, ,3,,56.1,1, ,7
,,,,,,109.95,1, ,6,,74.7,1, ,5,,56.175,1, ,5
,,,,,,110.1,1, ,5,,75,2, ,8,,56.25,1, ,3
,,,,,,110.4,2, ,6,,75.15,2, ,6,,56.325,1, ,2
,,,,,,110.55,2, ,8,,75.3,2, ,1,,56.4,2, ,8
,,,,,,110.7,2, ,1,,75.45,2, ,4,,56.55,3, ,8
,,,,,,110.85,2, ,4,,75.75,3, ,7,,56.7,2, ,2
,,,,,,111.15,2, ,3,,75.9,3, ,1,,56.85,3, ,4
,,,,,,111.3,2, ,5,,76.05,3, ,3,,57,2, ,3
,,,,,,111.45,2, ,5,,76.35,4, ,8,,57.15,2, ,3
,,,,,,111.6,2, ,3,,76.5,4, ,6,,57.3,4, ,2
,,,,,,111.9,2, ,4,,76.8,3, ,6,,57.6,1, ,8
,,,,,,112.2,2, ,7,,76.95,3, ,4,,57.9,1, ,5
,,,,,,112.35,2, ,8,,77.25,2, ,1,,57.975,1, ,4
,,,,,,112.5,2, ,4,,77.55,1, ,4,,58.05,1, ,5
,,,,,,112.8,3, ,5,,77.7,1, ,6,,58.125,1, ,1
,,,,,,112.95,3, ,4,,77.85,1, ,8,,58.2,1, ,1
,,,,,,113.25,3, ,2,,78,1, ,2,,58.425,1, ,4
,,,,,,113.55,3, ,1,,78.15,1, ,6,,58.65,1, ,1
,,,,,,113.7,3, ,1,,78.45,2, ,8,,58.95,1, ,7
,,,,,,113.85,3, ,3,,78.75,3, ,4,,59.1,1, ,6
,,,,,,114.15,3, ,4,,78.9,3, ,4,,59.4,1, ,8
,,,,,,114.375,3, ,4,,79.2,1, ,1,,59.625,1, ,4
,,,,,,114.6,3, ,1,,79.35,1, ,7,,59.85,1, ,1
,,,,,,114.825,3, ,6,,79.5,1, ,7,,60.3,1, ,5
,,,,,,115.05,3, ,8,,79.65,1, ,7,,60.525,1, ,8
,,,,,,115.2,3, ,5,,79.95,2, ,1,,60.75,1, ,1
,,,,,,115.5,3, ,3,,80.1,2, ,6,,60.9,1, ,7
,,,,,,115.65,3, ,5,,80.25,2, ,5,,61.05,1, ,1
,,,,,,115.95,3, ,5,,80.4,2, ,3,,61.2,1, ,1
,,,,,,116.25,3, ,7,,80.55,2, ,6,,61.3,1, ,7
,,,,,,116.55,4, ,2,,80.7,2, ,7,,61.4,1, ,7
,,,,,,116.7,4, ,5,,80.85,2, ,8,,61.5,1, ,7
,,,,,,116.85,4, ,6,,81.15,3, ,6,,61.8,1, ,7
,,,,,,117,4, ,2,,81.3,3, ,8,,61.9,1, ,6
,,,,,,117.3,4, ,2,,81.6,4, ,8,,61.95,1, ,4
,,,,,,117.6,1, ,3,,81.75,4, ,1,,62,1, ,3
,,,,,,117.75,1, ,6,,81.9,4, ,1,,62.1,1, ,3
,,,,,,117.9,1, ,6,,82.05,4, ,4,,62.2,1, ,2
,,,,,,118.2,1, ,7,,82.35,3, ,1,,62.3,1, ,8
,,,,,,118.425,1, ,8,,82.5,3, ,5,,62.4,1, ,8
,,,,,,118.65,1, ,2,,82.8,2, ,2,,62.7,1, ,8
,,,,,,118.8,1, ,5,,83.1,2, ,6,,62.775,1, ,6
,,,,,,118.95,1, ,8,,83.25,2, ,2,,62.85,1, ,8
,,,,,,119.1,1, ,1,,83.55,1, ,4,,62.925,1, ,2
,,,,,,119.25,1, ,5,,83.7,1, ,7,,63,1, ,3
,,,,,,119.55,1, ,2,,84,1, ,4,,63.225,1, ,1
,,,,,,119.7,1, ,1,,84.3,2, ,6,,63.45,1, ,6
,,,,,,120,2, ,2,,84.45,2, ,3,,63.6,1, ,7
,,,,,,120.15,2, ,8,,84.75,3, ,8,,63.7,1, ,3
,,,,,,120.3,2, ,1,,85.05,3, ,7,,63.8,1, ,1
,,,,,,120.6,2, ,5,,85.2,3, ,4,,63.9,1, ,7
,,,,,,120.825,2, ,6,,85.35,3, ,2,,64.05,1, ,7
,,,,,,121.05,2, ,5,,85.5,3, ,7,,64.35,1, ,2
,,,,,,121.2,2, ,1,,85.65,3, ,7,,64.5,1, ,1
,,,,,,121.5,2, ,3,,85.95,4, ,5,,64.65,1, ,2
,,,,,,121.65,2, ,1,,86.1,4, ,5,,64.725,1, ,8
,,,,,,121.95,2, ,6,,86.175,4, ,8,,64.95,1, ,1
,,,,,,122.1,2, ,5,,86.25,4, ,2,,65.025,1, ,1
,,,,,,122.4,3, ,3,,86.325,4, ,8,,65.1,1, ,5
,,,,,,122.55,3, ,8,,86.4,4, ,4,,65.25,1, ,7
,,,,,,122.7,3, ,3,,86.7,3, ,8,,65.325,1, ,6
,,,,,,123,3, ,5,,86.85,3, ,1,,65.4,1, ,1
,,,,,,123.15,3, ,6,,87.15,2, ,5,,65.475,1, ,3
,,,,,,123.3,3, ,2,,87.3,2, ,3,,65.55,1, ,6
,,,,,,123.45,3, ,1,,87.45,2, ,5,,65.7,1, ,8
,,,,,,123.6,3, ,2,,87.6,2, ,6,,65.75,1, ,8
,,,,,,123.825,3, ,4,,87.75,2, ,8,,65.8,1, ,4
,,,,,,124.05,3, ,4,,87.9,2, ,7,,65.85,1, ,5
,,,,,,124.275,3, ,2,,88.05,2, ,1,,65.925,1, ,2
,,,,,,124.5,3, ,3,,88.2,2, ,7,,66,1, ,5
,,,,,,124.65,3, ,4,,88.5,1, ,5,,66.1,1, ,5
,,,,,,124.8,4, ,2,,88.8,1, ,1,,66.2,1, ,6
,,,,,,124.95,4, ,1,,89.1,1, ,3,,66.3,1, ,6
,,,,,,125.1,4, ,7,,89.4,1, ,5,,66.4,1, ,3
,,,,,,125.25,4, ,6,,89.7,1, ,6,,66.5,1, ,5
,,,,,,125.55,4, ,5,,90,1, ,4,,66.6,1, ,8
,,,,,,125.7,4, ,7,,90.3,1, ,1,,66.65,1, ,2
,,,,,,125.85,4, ,1,,90.6,1, ,2,,66.7,1, ,7
,,,,,,126,4, ,4,,90.9,1, ,4,,66.8,1, ,6
,,,,,,126.225,4, ,4,,91.2,1, ,8,,66.9,1, ,5
,,,,,,126.45,4, ,1,,91.35,1, ,8,,66.95,1, ,1
,,,,,,126.675,4, ,5,,91.5,1, ,8,,67,1, ,1
,,,,,,126.9,4, ,8,,91.8,1, ,2,,67.1,1, ,5
,,,,,,127.2,1, ,2,,92.1,1, ,7,,67.2,1, ,6
,,,,,,127.35,1, ,2,,92.4,1, ,7,,69.6,1, ,7
,,,,,,127.5,1, ,1,,92.625,1, ,1,,69.75,1, ,6
,,,,,,127.8,1, ,2,,92.85,1, ,1,,69.9,1, ,2
,,,,,,128.025,1, ,6,,93,1, ,5,,70.05,1, ,3
,,,,,,128.25,1, ,5,,93.075,1, ,2,,70.35,2, ,6
,,,,,,128.4,1, ,4,,93.15,1, ,8,,70.5,2, ,2
,,,,,,128.55,1, ,3,,93.3,1, ,7,,70.65,2, ,2
,,,,,,128.7,1, ,1,,93.375,1, ,8,,70.8,2, ,7
,,,,,,128.85,1, ,5,,93.45,1, ,6,,70.95,2, ,2
,,,,,,129.15,1, ,5,,93.6,1, ,2,,71.1,2, ,5
,,,,,,129.3,1, ,6,,93.75,1, ,1,,71.25,2, ,4
,,,,,,129.6,2, ,7,,93.9,1, ,5,,71.55,3, ,5
,,,,,,129.75,2, ,7,,94.05,1, ,3,,71.7,3, ,7
,,,,,,129.9,2, ,3,,94.2,1, ,5,,72,4, ,3
,,,,,,130.2,2, ,8,,94.35,1, ,8,,72.15,4, ,1
,,,,,,130.35,2, ,6,,94.5,1, ,5,,72.3,4, ,6
,,,,,,130.5,2, ,2,,94.8,1, ,5,,72.45,4, ,8
,,,,,,130.65,2, ,6,,94.95,1, ,8,,72.75,3, ,6
,,,,,,130.8,2, ,3,,95.025,1, ,2,,72.9,3, ,2
,,,,,,131.025,2, ,5,,95.175,1, ,2,,73.2,2, ,7
,,,,,,131.25,2, ,5,,95.25,1, ,2,,73.5,2, ,5
,,,,,,131.475,2, ,7,,95.4,1, ,5,,73.65,2, ,2
,,,,,,131.7,2, ,7,,95.625,1, ,3,,73.95,1, ,3
,,,,,,131.85,2, ,5,,95.85,1, ,7,,74.1,1, ,5
,,,,,,132,3, ,4,,96,1, ,3,,74.4,1, ,6
,,,,,,132.15,3, ,6,,96.075,1, ,2,,74.55,1, ,3
,,,,,,132.3,3, ,8,,96.15,1, ,6,,74.7,1, ,7
,,,,,,132.6,3, ,6,,96.225,1, ,3,,75,2, ,1
,,,,,,132.825,3, ,3,,96.3,1, ,1,,75.15,2, ,4
,,,,,,133.05,3, ,1,,96.375,1, ,8,,75.3,2, ,2
,,,,,,133.2,3, ,6,,96.45,1, ,6,,75.45,2, ,3
,,,,,,133.35,3, ,3,,96.525,1, ,4,,75.75,3, ,2
,,,,,,133.5,3, ,1,,96.6,1, ,4,,75.9,3, ,3
,,,,,,133.65,3, ,4,,96.675,1, ,7,,76.05,3, ,2
,,,,,,133.8,3, ,3,,96.75,1, ,2,,76.35,4, ,1
,,,,,,134.1,3, ,6,,96.825,1, ,4,,76.5,4, ,3
,,,,,,134.4,4, ,7,,96.9,1, ,3,,76.8,3, ,6
,,,,,,134.7,4, ,8,,96.975,1, ,5,,76.95,3, ,2
,,,,,,134.85,4, ,4,,97.05,1, ,8,,77.25,2, ,1
,,,,,,135.15,4, ,7,,97.125,1, ,8,,77.55,1, ,2
,,,,,,135.3,4, ,8,,97.2,1, ,2,,77.7,1, ,3
,,,,,,135.45,4, ,8,,97.35,1, ,2,,77.85,1, ,6
,,,,,,135.6,4, ,7,,97.425,1, ,6,,78,1, ,4
,,,,,,135.75,4, ,2,,97.5,1, ,1,,78.15,1, ,1
,,,,,,135.9,4, ,6,,97.65,1, ,5,,78.45,2, ,1
,,,,,,136.05,4, ,3,,97.8,1, ,1,,78.75,3, ,1
,,,,,,136.2,4, ,3,,97.875,1, ,7,,78.9,3, ,6
,,,,,,136.5,4, ,2,,97.95,1, ,1,,79.2,1, ,8
,,,,,,136.8,1, ,7,,98.1,1, ,6,,79.35,1, ,7
,,,,,,137.1,1, ,1,,98.175,1, ,3,,79.5,1, ,6
,,,,,,137.25,1, ,6,,98.25,1, ,8,,79.65,1, ,6
,,,,,,137.4,1, ,6,,98.4,1, ,6,,79.95,2, ,8
,,,,,,137.625,1, ,7,,98.55,1, ,2,,80.1,2, ,6
,,,,,,137.85,1, ,2,,98.625,1, ,6,,80.25,2, ,8
,,,,,,138.15,1, ,6,,98.7,1, ,1,,80.4,2, ,4
,,,,,,138.3,1, ,4,,98.775,1, ,6,,80.55,2, ,3
,,,,,,138.6,1, ,8,,98.85,1, ,7,,80.7,2, ,6
,,,,,,138.825,1, ,4,,99.15,1, ,1,,80.85,2, ,7
,,,,,,139.05,1, ,5,,99.225,1, ,4,,81.15,3, ,8
,,,,,,139.2,1, ,5,,99.3,1, ,5,,81.3,3, ,6
,,,,,,139.275,1, ,1,,99.45,1, ,6,,81.6,4, ,2
,,,,,,139.35,1, ,7,,99.525,1, ,1,,81.75,4, ,3
,,,,,,139.5,1, ,7,,99.75,2, ,8,,81.9,4, ,5
,,,,,,139.725,1, ,6,,99.9,2, ,3,,82.05,4, ,8
,,,,,,139.95,1, ,7,,100.05,2, ,1,,82.35,3, ,8
,,,,,,140.175,1, ,6,,100.125,2, ,6,,82.5,3, ,7
,,,,,,140.4,1, ,2,,100.2,2, ,3,,82.8,2, ,7
,,,,,,140.55,1, ,5,,100.35,2, ,2,,83.1,2, ,6
,,,,,,140.7,1, ,7,,100.425,2, ,5,,83.25,2, ,5
,,,,,,141,1, ,8,,100.5,2, ,4,,83.55,1, ,1
,,,,,,141.3,1, ,2,,100.65,2, ,8,,83.7,1, ,3
,,,,,,141.45,1, ,4,,100.8,3, ,2,,84,1, ,1
,,,,,,141.6,1, ,7,,100.95,3, ,2,,84.3,2, ,3
,,,,,,141.9,1, ,4,,101.025,3, ,1,,84.45,2, ,5
,,,,,,142.125,1, ,6,,101.1,3, ,4,,84.75,3, ,2
,,,,,,142.35,1, ,8,,101.25,3, ,7,,85.05,3, ,4
,,,,,,142.5,1, ,4,,101.325,3, ,6,,85.2,3, ,1
,,,,,,142.65,1, ,2,,101.55,3, ,5,,85.35,3, ,5
,,,,,,142.8,1, ,8,,101.625,3, ,6,,85.5,3, ,7
,,,,,,143.1,1, ,1,,101.7,3, ,8,,85.65,3, ,3
,,,,,,143.4,1, ,7,,101.85,3, ,8,,85.95,4, ,4
,,,,,,143.625,1, ,6,,102,4, ,2,,86.1,4, ,3
,,,,,,143.85,1, ,5,,102.15,4, ,3,,86.175,4, ,2
,,,,,,144,1, ,1,,102.225,4, ,2,,86.25,4, ,4
,,,,,,144.3,1, ,1,,102.3,4, ,1,,86.325,4, ,7
,,,,,,144.45,1, ,8,,102.45,4, ,2,,86.4,4, ,3
,,,,,,144.75,1, ,2,,102.525,4, ,7,,86.7,3, ,2
,,,,,,144.9,1, ,5,,102.6,4, ,4,,86.85,3, ,4
,,,,,,145.05,1, ,7,,102.75,4, ,1,,87.15,2, ,3
,,,,,,145.2,1, ,2,,102.825,4, ,8,,87.3,2, ,1
,,,,,,145.35,1, ,8,,102.9,4, ,1,,87.45,2, ,8
,,,,,,145.5,1, ,6,,103.05,4, ,5,,87.6,2, ,4
,,,,,,145.65,1, ,5,,103.2,1, ,2,,87.75,2, ,8
,,,,,,145.8,1, ,6,,103.35,1, ,4,,87.9,2, ,4
,,,,,,145.95,1, ,6,,103.425,1, ,4,,88.05,2, ,4
,,,,,,146.1,1, ,6,,103.5,1, ,7,,88.2,2, ,6
,,,,,,146.4,1, ,7,,103.65,1, ,8,,88.5,1, ,6
,,,,,,146.7,1, ,3,,103.725,1, ,2,,88.8,1, ,3
,,,,,,146.85,1, ,1,,103.95,1, ,8,,89.1,1, ,6
,,,,,,147,1, ,1,,104.025,1, ,3,,89.4,1, ,4
,,,,,,147.225,1, ,1,,104.1,1, ,4,,89.7,1, ,5
,,,,,,147.45,1, ,5,,104.25,1, ,8,,90,1, ,3
,,,,,,147.75,1, ,2,,104.4,2, ,4,,90.3,1, ,2
,,,,,,147.9,1, ,5,,104.55,2, ,8,,90.6,1, ,6
,,,,,,148.2,1, ,7,,104.625,2, ,4,,90.9,1, ,4
,,,,,,148.425,1, ,2,,104.775,2, ,5,,91.2,1, ,1
,,,,,,148.65,1, ,5,,104.85,2, ,4,,91.35,1, ,5
,,,,,,148.8,1, ,1,,105,2, ,5,,91.5,1, ,6
,,,,,,148.875,1, ,2,,105.075,2, ,7,,91.8,1, ,5
,,,,,,148.95,1, ,6,,105.15,2, ,2,,92.1,1, ,2
,,,,,,149.1,1, ,2,,105.3,2, ,2,,92.4,1, ,4
,,,,,,149.325,1, ,5,,105.375,2, ,6,,92.625,1, ,3
,,,,,,149.55,1, ,2,,105.45,2, ,6,,92.85,1, ,1
,,,,,,149.775,1, ,5,,105.6,3, ,8,,93,1, ,5
,,,,,,150,1, ,2,,105.9,3, ,1,,93.075,1, ,1
,,,,,,150.15,1, ,7,,106.05,3, ,1,,93.15,1, ,8
,,,,,,150.3,1, ,3,,106.35,3, ,2,,93.3,1, ,5
,,,,,,150.6,1, ,4,,106.5,3, ,5,,93.375,1, ,7
,,,,,,150.9,1, ,7,,106.65,3, ,8,,93.45,1, ,1
,,,,,,151.05,1, ,3,,106.8,4, ,6,,93.6,1, ,3
,,,,,,151.2,1, ,6,,106.95,4, ,2,,93.75,1, ,4
,,,,,,151.5,1, ,2,,107.025,4, ,1,,93.9,1, ,1
,,,,,,151.725,1, ,5,,107.1,4, ,1,,94.05,1, ,2
,,,,,,151.95,1, ,7,,107.25,4, ,2,,94.2,1, ,1
,,,,,,152.1,1, ,7,,107.4,4, ,1,,94.35,1, ,6
,,,,,,152.25,1, ,3,,107.55,4, ,1,,94.5,1, ,4
,,,,,,152.4,1, ,6,,107.7,4, ,2,,94.8,1, ,3
,,,,,,152.7,1, ,4,,108,1, ,2,,94.95,1, ,1
,,,,,,153,1, ,2,,108.15,1, ,8,,95.025,1, ,6
,,,,,,153.225,1, ,2,,108.225,1, ,8,,95.175,1, ,5
,,,,,,153.45,1, ,7,,108.3,1, ,7,,95.25,1, ,1
,,,,,,153.6,1, ,3,,108.375,1, ,7,,95.4,1, ,6
,,,,,,153.9,1, ,6,,108.45,1, ,3,,95.625,1, ,8
,,,,,,154.05,1, ,7,,108.75,1, ,2,,95.85,1, ,3
,,,,,,154.35,1, ,1,,108.825,1, ,2,,96,1, ,6
,,,,,,154.5,1, ,3,,108.9,1, ,2,,96.075,1, ,2
